"order_id","order_estimated_delivery_date","order_delivered_customer_date","days_late"
"084051935208c688c8cd5fae3d15810d","2017-03-27 00:00:00","2017-03-28 16:52:33",1
"89bd46bd027ae866a59a72810b4adc95","2018-06-05 00:00:00","2018-06-15 13:49:44",10
"67204cd665c7418b36623b21584dc92c","2017-12-29 00:00:00","2018-01-13 12:49:20",15
"bf6ae1909b2e970bb1c4f1119b324b64","2018-03-02 00:00:00","2018-03-06 23:29:04",4
"03720fdc92032ee4abd471d172006ab0","2018-08-17 00:00:00","2018-08-21 00:11:52",4
"b6220fb5a863a30b561a0084f111e0da","2018-06-01 00:00:00","2018-06-09 18:32:14",8
"1ef47fb13ee9044b5e5aa3bd388755de","2018-04-06 00:00:00","2018-04-12 21:05:53",6
"eaae5e87592113d14ab25a25bf5105e6","2017-04-12 00:00:00","2017-04-19 14:43:40",7
"e885304ec221dd09a24101f0dd920504","2018-04-18 00:00:00","2018-04-25 00:47:25",7
"da9d5d868a28b17116214d1240c22837","2017-09-08 00:00:00","2017-09-19 18:09:44",11
"901884e93a6e353950d63cf7a16621ef","2018-01-05 00:00:00","2018-01-06 17:07:34",1
"9e1571408c90f2235bf00d6fd15f8d51","2018-03-14 00:00:00","2018-03-28 18:36:45",14
"69d7b0fd0e1539d95821f334b42cdfe7","2018-04-03 00:00:00","2018-04-10 20:05:18",7
"ea7e528106f7ea156423a2cbafd75bc2","2017-10-27 00:00:00","2017-10-31 21:12:01",4
"546c8958ff67b28473cf140ec32a5a91","2017-12-20 00:00:00","2017-12-27 15:00:00",7
"caef38892cf9eefb7fa25d54e803ba20","2018-03-23 00:00:00","2018-03-29 16:12:29",6
"001c85b5f68d2be0cb0797afc9e8ce9a","2017-12-14 00:00:00","2017-12-22 18:37:40",8
"84960d31af78367051a7134bf7b64f29","2018-08-02 00:00:00","2018-08-08 18:31:21",6
"4438691d291f7a436db5665e8d010ac9","2017-08-08 00:00:00","2017-08-10 19:08:25",2
"4969634a191db1f7ef36954434938327","2018-08-06 00:00:00","2018-08-08 19:28:43",2
"af392de2586db1645a4044ef1e84c47a","2018-03-16 00:00:00","2018-03-18 16:16:57",2
"e74f16cd18d4e5b3dfbcc81e880430d9","2017-12-19 00:00:00","2018-01-18 00:28:54",30
"d5a9c802f335dab69b88e69434d0dd43","2018-04-02 00:00:00","2018-04-17 18:48:22",15
"d8b396712d55ccad35aa9a1391aa74a1","2018-02-23 00:00:00","2018-03-05 22:14:26",10
"81349623c14fed4e8943c5ad1f3ed4fe","2018-05-17 00:00:00","2018-05-19 16:52:48",2
"b7579d24f5b2dd3e20f2e57d0e07d170","2017-05-11 00:00:00","2017-05-25 16:54:46",14
"a69ddc335f989aa05576bc19f8b9a549","2018-03-29 00:00:00","2018-04-18 15:41:50",20
"784b0448b2075a95afcf2a55310b7238","2018-05-24 00:00:00","2018-06-01 20:14:44",8
"e5c7db6481f467875bd4d52357a8f8a1","2018-03-23 00:00:00","2018-04-04 21:29:59",12
"9c104b0d2f584506ce7b30bab9d2dd95","2017-12-18 00:00:00","2017-12-19 17:38:49",1
"b682fc4ea655d9de9cd962462e16e738","2017-08-23 00:00:00","2017-08-28 11:06:00",5
"43e99f3020b420b8aff15449ff4f7561","2018-05-07 00:00:00","2018-05-14 17:51:45",7
"e86c9bfc5e5cce878c7d0c2419927cd7","2018-04-13 00:00:00","2018-04-23 19:20:55",10
"b08358fdbc23fa2201ce6b08be2dddb7","2018-01-16 00:00:00","2018-01-23 18:23:29",7
"3dbf60040199f502ec5dd67f86b804ab","2017-03-27 00:00:00","2017-04-13 11:39:04",17
"7a268da1c6173cf3d0847a89afdaf84e","2018-08-10 00:00:00","2018-08-14 17:21:32",4
"4a34aa679137ec3d1b3ad0c4c8b7a7e5","2018-04-10 00:00:00","2018-04-15 21:04:20",5
"3459f554a17b52bc945b6cb98f90142e","2018-04-06 00:00:00","2018-04-07 21:28:41",1
"cc8389c87998ef48d592285b08d5106d","2018-03-27 00:00:00","2018-04-02 13:38:35",6
"55722f117fa81b20ab36bbfc3c8878dd","2018-04-27 00:00:00","2018-05-02 18:17:36",5
"183a7d0aaaf6b16afaa897a44424494b","2018-03-19 00:00:00","2018-03-26 18:32:21",7
"dd501072091c950a1e6bb5ea9182df2a","2018-05-02 00:00:00","2018-05-14 15:18:58",12
"179b63fcfafb80e064370a2ce74c81f7","2018-05-21 00:00:00","2018-05-25 13:41:46",4
"66e7b21711a5ac0d6b6a5f60e4c79a75","2017-12-21 00:00:00","2018-01-03 13:13:00",13
"87a330a52c9e677f1252f2f17e54cf65","2017-10-05 00:00:00","2017-10-16 16:35:32",11
"42895607072db349b61edb6cdbc363a3","2017-10-03 00:00:00","2017-10-05 18:37:25",2
"b52ce41a14821d9fa67f8a77cebb3efc","2018-03-09 00:00:00","2018-03-10 02:08:40",1
"1950d777989f6a877539f53795b4c3c3","2018-03-09 00:00:00","2018-03-21 22:03:51",12
"446634c9e8e8c3a70fef1507c82d5c68","2018-03-21 00:00:00","2018-03-27 00:58:35",6
"d8f4ac2b5cf577657a2165a7c75857ff","2017-12-19 00:00:00","2018-01-22 13:56:53",34
"25bd2ad9d282f59e4e6a048ef9bf214f","2018-04-11 00:00:00","2018-05-02 19:36:36",21
"25e2eb92a4861f100d82edfb2cbbb47f","2018-04-06 00:00:00","2018-04-24 23:33:03",18
"58a2de891c9d6c4e5b5a36320350bfd2","2018-03-28 00:00:00","2018-04-03 00:04:36",6
"807a4c5f5dab3090fbad1dd16140f706","2018-04-05 00:00:00","2018-04-09 17:28:40",4
"d12938a56eae845fa37620309ec0eea6","2017-11-24 00:00:00","2017-11-25 13:41:48",1
"217fa08ee792f84b2a3b3a84ee263b0e","2017-10-25 00:00:00","2017-10-28 15:35:59",3
"8757dc05fefc469b988804e017319c10","2018-05-30 00:00:00","2018-06-04 14:25:36",5
"8b7fd198ad184563c231653673e75a7f","2017-11-28 00:00:00","2018-02-27 18:05:08",91
"24843df655e56c3713485a7880677287","2017-11-30 00:00:00","2017-12-01 21:21:12",1
